ID,0,1
1,"""Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)""",0
2,Patch Set 1: Code-Review+2,1
3,Patch Set 1:Thanks Stefan for the review and merge.,2
4,Patch Set 1: Code-Review+2,1
5,Patch Set 1: Code-Review+2,1
6,Patch Set 1: Code-Review+2,1
7,Patch Set 2: Code-Review+2,1
8,Patch Set 1: Code-Review-2I think I still need to:* Get the new version in Orbit* Update the org.eclipse.jgit.packaging stuff to refer to the new version in Orbit,1
9,Patch Set 1:Matthias: Can I just follow the process you used in https://git.eclipse.org/r/63814 to add the recipe to orbit/orbit-recipes? What do I have to do after that?,1
10,"""Patch Set 1:> Matthias: Can I just follow the process you used in > https://git.eclipse.org/r/63814 to add the recipe to > orbit/orbit-recipes? What do I have to do after that?yes, you can follow this, link the CQhttps://dev.eclipse.org/ipzilla/show_bug.cgi?id=11878which I filed as corresponding CQ for the Orbit projectseehttps://dev.eclipse.org/mhonarc/lists/orbit-dev/msg04468.htmlandhttps://github.com/eclipse/ebr/ > Matthias: Can I just follow the process you used in > https://git.eclipse.org/r/63814 to add the recipe to > orbit/orbit-recipes? What do I have to do after that?Yes, you can follow what I did thereYou need another CQ for Orbit, I filed that for youhttps://dev.eclipse.org/ipzilla/show_bug.cgi?id=11878Documentation how to add something to the Orbit build is herehttp://git.eclipse.org/c/orbit/orbit-recipes.git/tree/README.mdalso seehttps://github.com/eclipse/ebr/https://dev.eclipse.org/mhonarc/lists/orbit-dev/msg04468.html""",1
11,"""Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes.""",1
12,"""Patch Set 2:> CQ 11658 and CQ 11878 were both approved, so you can now proceed > and add JavaEWAH 1.1.6 to Orbit recipes. >  > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from > the change adding it to Orbit recipes.This seems to have been done in https://git.eclipse.org/r/#/c/81339/""",1
13,Patch Set 2: -Code-Review,1
14,"""Patch Set 2:> > CQ 11658 and CQ 11878 were both approved, so you can now proceed > > and add JavaEWAH 1.1.6 to Orbit recipes. > > > > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it > from > > the change adding it to Orbit recipes. >  > This seems to have been done in https://git.eclipse.org/r/#/c/81339/I can update target platforms tomorrow""",1
